Date,Close,Volume,Open,High,Low
9/27/24,$885.62 ,3459054,$893.26 ,$893.49 ,$874.00 
9/26/24,$901.44 ,2738553,$905.30 ,$909.24 ,$898.13 
9/25/24,$908.42 ,1728137,$903.00 ,$910.36 ,$901.13 
9/24/24,$901.54 ,2432552,$912.01 ,$912.77 ,$897.53 
9/23/24,$917.08 ,1697643,$906.98 ,$919.50 ,$900.78 
9/20/24,$906.98 ,4658159,$901.57 ,$907.81 ,$895.70 
9/19/24,$900.74 ,1747482,$904.26 ,$905.13 ,$895.50 
9/18/24,$892.52 ,1338163,$899.94 ,$904.98 ,$890.95 
9/17/24,$897.27 ,1386963,$908.43 ,$908.60 ,$895.45 
9/16/24,$907.87 ,1661046,$922.00 ,$922.63 ,$905.35 
9/13/24,$916.00 ,1327509,$913.63 ,$923.83 ,$909.36 
9/12/24,$915.03 ,1868674,$900.42 ,$915.70 ,$896.51 
9/11/24,$900.40 ,1796084,$895.00 ,$902.00 ,$877.87 
9/10/24,$894.29 ,1360818,$892.60 ,$900.69 ,$887.52 
9/9/24,$896.49 ,1953977,$884.74 ,$898.83 ,$881.70 
9/6/24,$876.68 ,2074604,$891.26 ,$893.20 ,$871.00 
9/5/24,$885.98 ,1998837,$888.63 ,$888.63 ,$868.70 
9/4/24,$890.02 ,1425160,$877.45 ,$891.76 ,$876.59 
9/3/24,$878.57 ,1784179,$896.68 ,$896.89 ,$874.44 
8/30/24,$892.38 ,1933485,$890.50 ,$896.33 ,$883.10 
8/29/24,$886.63 ,1709893,$891.00 ,$900.46 ,$885.17 
8/28/24,$888.05 ,1668378,$910.96 ,$912.22 ,$881.66 
8/27/24,$908.90 ,2098899,$892.69 ,$918.93 ,$887.07 
8/26/24,$892.51 ,1737024,$883.17 ,$893.25 ,$881.44 
8/23/24,$879.21 ,1305753,$882.49 ,$884.56 ,$871.67 
8/22/24,$877.56 ,1440919,$882.30 ,$884.00 ,$873.18 
8/21/24,$881.42 ,1465505,$880.74 ,$891.12 ,$877.22 
