Date,Close,Volume,Open,High,Low
9/27/24,$567.36 ,9398367,$570.10 ,$570.84 ,$564.51 
9/26/24,$567.84 ,14400790,$575.73 ,$577.40 ,$562.35 
9/25/24,$568.31 ,16543350,$564.05 ,$576.88 ,$563.72 
9/24/24,$563.33 ,12992960,$566.68 ,$567.75 ,$554.19 
9/23/24,$564.41 ,12830670,$569.50 ,$573.98 ,$562.41 
9/20/24,$561.35 ,22066820,$560.00 ,$564.50 ,$556.30 
9/19/24,$559.10 ,15646950,$550.00 ,$562.07 ,$546.52 
9/18/24,$537.95 ,10323540,$537.07 ,$544.20 ,$533.90 
9/17/24,$536.32 ,11690780,$537.60 ,$542.10 ,$530.57 
9/16/24,$533.28 ,9527646,$524.54 ,$534.10 ,$517.40 
9/13/24,$524.62 ,10321420,$520.34 ,$527.58 ,$517.11 
9/12/24,$525.60 ,11993340,$517.05 ,$526.71 ,$515.22 
9/11/24,$511.83 ,10782530,$507.01 ,$513.12 ,$495.60 
9/10/24,$504.79 ,9899022,$508.16 ,$514.18 ,$500.03 
9/9/24,$504.79 ,11047830,$506.16 ,$511.33 ,$502.08 
9/6/24,$500.27 ,14744520,$521.88 ,$524.58 ,$498.25 
9/5/24,$516.86 ,8640888,$511.72 ,$521.63 ,$511.15 
9/4/24,$512.74 ,8335207,$506.07 ,$516.59 ,$504.07 
9/3/24,$511.76 ,12459110,$519.64 ,$525.49 ,$508.62 
8/30/24,$521.31 ,9157541,$521.35 ,$523.54 ,$515.20 
8/29/24,$518.22 ,8317424,$519.05 ,$527.20 ,$515.68 
8/28/24,$516.78 ,9106077,$517.68 ,$521.09 ,$512.45 
8/27/24,$519.10 ,6282720,$518.98 ,$524.01 ,$515.31 
8/26/24,$521.12 ,9584002,$527.60 ,$528.00 ,$514.95 
8/23/24,$528.00 ,11323940,$536.92 ,$539.87 ,$525.06 
8/22/24,$531.93 ,15708290,$537.00 ,$544.23 ,$528.59 
8/21/24,$535.16 ,13423290,$527.15 ,$539.40 ,$526.94 
8/20/24,$526.73 ,7944391,$528.35 ,$531.09 ,$525.88 
8/19/24,$529.28 ,9879713,$526.87 ,$531.66 ,$522.76 
8/16/24,$527.42 ,14776680,$531.90 ,$533.66 ,$524.66 
8/15/24,$537.33 ,13482140,$531.79 ,$539.77 ,$526.70 
8/14/24,$526.76 ,11444190,$528.06 ,$534.00 ,$523.13 
8/13/24,$528.54 ,13743840,$520.01 ,$531.50 ,$518.15 
8/12/24,$515.95 ,9767422,$516.86 ,$518.02 ,$509.10 
8/9/24,$517.77 ,13696640,$507.71 ,$518.34 ,$505.70 
8/8/24,$509.63 ,16156840,$497.50 ,$509.96 ,$494.72 
8/7/24,$488.92 ,20105310,$503.13 ,$510.15 ,$486.86 
8/6/24,$494.09 ,20954960,$479.00 ,$502.56 ,$478.65 
8/5/24,$475.73 ,21396190,$451.35 ,$483.48 ,$450.80 
8/2/24,$488.14 ,24044660,$489.00 ,$501.15 ,$476.15 
8/1/24,$497.74 ,43083080,$521.00 ,$527.17 ,$492.10 
7/31/24,$474.83 ,24285780,$471.02 ,$476.50 ,$466.75 
7/30/24,$463.19 ,11390440,$467.00 ,$472.73 ,$456.70 
7/29/24,$465.71 ,11339630,$469.88 ,$473.96 ,$465.02 
7/26/24,$465.70 ,14222390,$464.20 ,$469.77 ,$459.42 
7/25/24,$453.41 ,18240490,$463.26 ,$463.55 ,$442.65 
7/24/24,$461.27 ,17649740,$472.31 ,$476.30 ,$460.58 
7/23/24,$488.69 ,9455527,$489.84 ,$495.22 ,$487.72 
7/22/24,$487.40 ,12023090,$486.58 ,$492.06 ,$483.90 
7/19/24,$476.79 ,15149420,$476.06 ,$486.71 ,$475.71 
7/18/24,$475.85 ,19267160,$475.00 ,$479.24 ,$464.54 
7/17/24,$461.99 ,28076600,$479.17 ,$479.17 ,$459.12 
7/16/24,$489.79 ,14075830,$501.50 ,$503.95 ,$485.79 
7/15/24,$496.16 ,12539160,$498.63 ,$506.68 ,$493.37 
7/12/24,$498.87 ,19750540,$497.76 ,$508.09 ,$494.23 
7/11/24,$512.70 ,16458250,$530.89 ,$535.46 ,$508.37 
7/10/24,$534.69 ,10983280,$530.79 ,$538.88 ,$528.36 
7/9/24,$530.00 ,8769088,$533.75 ,$537.48 ,$528.19 
7/8/24,$529.32 ,14917500,$542.35 ,$542.81 ,$526.65 
7/5/24,$539.91 ,21354090,$511.60 ,$540.87 ,$511.60 
7/3/24,$509.96 ,6005615,$506.37 ,$511.28 ,$506.02 
7/2/24,$509.50 ,7739479,$500.76 ,$510.50 ,$499.45 
7/1/24,$504.68 ,10328150,$504.95 ,$506.58 ,$493.17 
6/28/24,$504.22 ,15855140,$517.15 ,$521.88 ,$503.84 
6/27/24,$519.56 ,10121200,$514.25 ,$522.88 ,$513.90 
6/26/24,$513.12 ,8882337,$506.65 ,$513.81 ,$504.68 
6/25/24,$510.60 ,12109770,$497.05 ,$510.71 ,$495.50 
6/24/24,$498.91 ,13525280,$499.20 ,$507.80 ,$494.29 
6/21/24,$494.78 ,23130730,$503.45 ,$503.45 ,$492.39 
6/20/24,$501.70 ,11801180,$502.00 ,$503.67 ,$496.77 
6/18/24,$499.49 ,13060430,$504.56 ,$506.00 ,$495.02 
6/17/24,$506.63 ,11266600,$501.67 ,$510.75 ,$496.01 
6/14/24,$504.16 ,10243350,$502.65 ,$507.15 ,$500.75 
6/13/24,$504.10 ,9954621,$505.71 ,$509.36 ,$501.36 
6/12/24,$508.84 ,11983230,$513.99 ,$514.01 ,$504.47 
6/11/24,$507.47 ,9673715,$500.16 ,$507.60 ,$498.27 
6/10/24,$502.60 ,11236920,$493.86 ,$502.66 ,$493.41 
6/7/24,$492.96 ,9380745,$495.91 ,$498.91 ,$490.17 
6/6/24,$493.76 ,10667340,$492.98 ,$502.82 ,$490.89 
6/5/24,$495.06 ,15690480,$484.45 ,$496.65 ,$483.91 
6/4/24,$476.99 ,7088718,$477.00 ,$478.89 ,$473.23 
6/3/24,$477.49 ,11279390,$470.86 ,$479.60 ,$468.24 
5/31/24,$466.83 ,16919810,$465.80 ,$469.12 ,$454.46 
5/30/24,$467.05 ,10735230,$471.67 ,$471.73 ,$464.71 
5/29/24,$474.36 ,9226218,$474.66 ,$479.85 ,$473.70 
5/28/24,$479.92 ,10175770,$476.58 ,$480.86 ,$474.84 
5/24/24,$478.22 ,12024250,$467.62 ,$479.85 ,$466.30 
5/23/24,$465.78 ,11747910,$472.88 ,$474.36 ,$461.54 
5/22/24,$467.78 ,10078610,$467.87 ,$473.72 ,$465.65 
5/21/24,$464.63 ,11742190,$467.12 ,$470.70 ,$462.27 
5/20/24,$468.84 ,11745080,$469.95 ,$473.20 ,$467.04 
5/17/24,$471.91 ,10807290,$470.83 ,$472.80 ,$468.42 
5/16/24,$473.23 ,16608180,$475.00 ,$477.69 ,$472.75 
5/15/24,$481.54 ,13100470,$474.98 ,$482.50 ,$471.20 
5/14/24,$471.85 ,10478550,$463.37 ,$472.54 ,$460.08 
5/13/24,$468.01 ,14668800,$472.75 ,$473.35 ,$462.85 
5/10/24,$476.20 ,10750000,$477.09 ,$477.50 ,$469.60 
5/9/24,$475.42 ,9437651,$470.00 ,$476.08 ,$467.63 
5/8/24,$472.60 ,11683930,$463.50 ,$475.58 ,$463.00 
5/7/24,$468.24 ,13406820,$466.29 ,$471.53 ,$461.31 
5/6/24,$465.68 ,15094630,$455.58 ,$466.16 ,$453.34 
5/3/24,$451.96 ,16489060,$445.93 ,$454.17 ,$443.85 
5/2/24,$441.68 ,15221320,$438.84 ,$443.96 ,$432.28 
5/1/24,$439.19 ,20344950,$428.60 ,$449.96 ,$427.11 
4/30/24,$430.17 ,18429500,$431.05 ,$439.62 ,$429.72 
4/29/24,$432.62 ,21502650,$439.56 ,$439.76 ,$428.56 
4/26/24,$443.29 ,32691440,$441.46 ,$446.44 ,$431.96 
4/25/24,$441.38 ,82890740,$421.40 ,$445.77 ,$414.50 
4/24/24,$493.50 ,37772680,$508.06 ,$510.00 ,$484.58 
4/23/24,$496.10 ,15079200,$491.25 ,$498.76 ,$488.97 
4/22/24,$481.73 ,17271130,$489.72 ,$492.01 ,$473.40 
4/19/24,$481.07 ,25215360,$502.80 ,$502.80 ,$475.73 
4/18/24,$501.80 ,14808670,$499.82 ,$512.21 ,$499.04 
4/17/24,$494.17 ,12193740,$503.10 ,$503.16 ,$487.14 
4/16/24,$499.76 ,9847925,$498.11 ,$504.77 ,$497.11 
4/15/24,$500.23 ,13512890,$516.72 ,$518.53 ,$497.28 
4/12/24,$511.90 ,11984540,$517.75 ,$520.19 ,$509.33 
4/11/24,$523.16 ,10369470,$521.11 ,$523.86 ,$517.29 
4/10/24,$519.83 ,11418490,$509.29 ,$522.56 ,$505.80 
4/9/24,$516.90 ,10881450,$522.23 ,$525.87 ,$506.74 
4/8/24,$519.25 ,13260580,$529.28 ,$531.49 ,$518.89 
4/5/24,$527.34 ,19263270,$516.86 ,$530.70 ,$514.41 
4/4/24,$510.92 ,26476250,$516.42 ,$530.00 ,$510.58 
4/3/24,$506.74 ,12099170,$498.93 ,$507.24 ,$498.75 
4/2/24,$497.37 ,11081030,$485.10 ,$497.53 ,$484.65 
4/1/24,$491.35 ,9247007,$487.20 ,$497.43 ,$481.78 
3/28/24,$485.58 ,15212760,$492.84 ,$492.89 ,$485.15 
3/27/24,$493.86 ,9989676,$499.30 ,$499.89 ,$488.07 
3/26/24,$495.89 ,11205380,$505.13 ,$510.00 ,$495.21 
3/25/24,$503.02 ,8380617,$505.79 ,$507.22 ,$500.24 
3/22/24,$509.58 ,8120593,$507.00 ,$509.97 ,$504.34 
3/21/24,$507.76 ,9712549,$514.71 ,$515.04 ,$506.01 
3/20/24,$505.52 ,11711100,$499.50 ,$508.20 ,$495.17 
3/19/24,$496.24 ,10903090,$488.17 ,$496.63 ,$481.28 
3/18/24,$496.98 ,11755250,$491.91 ,$497.42 ,$486.81 
3/15/24,$484.10 ,29153580,$489.01 ,$491.83 ,$481.30 
3/14/24,$491.83 ,12620010,$500.26 ,$501.35 ,$488.16 
3/13/24,$495.57 ,12090660,$495.39 ,$500.98 ,$491.03 
3/12/24,$499.75 ,15448230,$493.26 ,$502.31 ,$484.73 
3/11/24,$483.59 ,20428270,$497.01 ,$497.32 ,$476.00 
3/8/24,$505.95 ,18597060,$514.19 ,$523.57 ,$499.35 
3/7/24,$512.19 ,18586440,$503.28 ,$519.85 ,$501.38 
3/6/24,$496.09 ,11757930,$497.63 ,$502.97 ,$494.29 
3/5/24,$490.22 ,15325300,$495.00 ,$495.58 ,$487.89 
3/4/24,$498.19 ,12324140,$503.00 ,$504.42 ,$496.42 
3/1/24,$502.30 ,15884880,$492.11 ,$504.25 ,$491.85 
2/29/24,$490.13 ,17732050,$488.44 ,$491.70 ,$482.61 
2/28/24,$484.02 ,12715490,$485.00 ,$491.05 ,$482.75 
2/27/24,$487.05 ,10809600,$479.98 ,$487.27 ,$479.92 
2/26/24,$481.74 ,12101420,$483.47 ,$486.14 ,$480.60 
2/23/24,$484.03 ,18374290,$488.05 ,$494.36 ,$482.35 
2/22/24,$486.13 ,21625810,$480.24 ,$489.99 ,$476.06 
2/21/24,$468.03 ,12977050,$466.50 ,$469.00 ,$461.79 
2/20/24,$471.75 ,18015520,$469.72 ,$476.18 ,$466.56 
2/16/24,$473.32 ,23324620,$478.11 ,$478.96 ,$469.21 
2/15/24,$484.03 ,24212330,$475.28 ,$488.62 ,$472.22 
2/14/24,$473.28 ,16858400,$467.93 ,$474.11 ,$466.09 
2/13/24,$460.12 ,20916600,$456.87 ,$467.89 ,$455.09 
2/12/24,$468.90 ,19381960,$468.19 ,$479.15 ,$466.58 
2/9/24,$468.11 ,18413140,$472.95 ,$473.59 ,$467.47 
2/8/24,$470.00 ,18815100,$468.32 ,$470.59 ,$465.03 
2/7/24,$469.59 ,23065990,$458.00 ,$471.52 ,$456.18 
